source_name,source_path,status,destination_folder,destination_name,destination_path,category,veo_priority,notes,duplicate_of,sha256,size_bytes
1.jpeg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\1.jpeg,ALREADY_ORGANIZED,09_cold_sides,cucumber_yogurt_02.jpeg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\09_cold_sides\cucumber_yogurt_02.jpeg,cold_side,low,Second cucumber-yogurt angle.,,12f21bcbd2e52017d6b820f0995c744e74e6a499f40e27390a3564ca1498d53e,400269
10.jpeg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\10.jpeg,ALREADY_ORGANIZED,04_chicken_rice_original,chicken_white_rice_original_01.jpeg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\04_chicken_rice_original\chicken_white_rice_original_01.jpeg,chicken_rice,medium,White-rice chicken product shot.,,d3f7d340221fbfbf120ed6a73396adea73b1e484c8da7c53cb86e46ace10a3d9,545840
11.jpeg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\11.jpeg,ALREADY_ORGANIZED,04_chicken_rice_original,chicken_yellow_rice_original_01.jpeg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\04_chicken_rice_original\chicken_yellow_rice_original_01.jpeg,chicken_rice,high,Strong yellow-rice chicken product shot.,,d55a4073cdc1924869ccf7917648c5403df6f2b685c7c17a914e6745a7030f97,575484
12.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\12.jpg,ALREADY_ORGANIZED,04_chicken_rice_original,chicken_yellow_rice_real_03.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\04_chicken_rice_original\chicken_yellow_rice_real_03.jpg,chicken_rice,medium,Additional yellow-rice chicken shot.,,7d1dcedca585f8f54018386949c0ae1d115785a69bb54b73eefd6907d4dd6dfc,125562
14.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\14.jpg,ALREADY_ORGANIZED,06_grill,grilled_meat_cubes_01.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\06_grill\grilled_meat_cubes_01.jpg,grill,medium,Grilled meat pieces.,,b6faf91a654398e5dbe2b39ea5543f87e0f8d01b1f57a875c7178eba2db8910e,94664
15.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\15.jpg,ALREADY_ORGANIZED,03_lamb_feasts,lamb_feast_table_01.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\03_lamb_feasts\lamb_feast_table_01.jpg,lamb_feast,high,Large table spread with lamb dishes.,,40178096eec2e1eabc42dfef271b5c64ba633a004ee41de294475dee2bf16619,74673
17.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\17.jpg,ALREADY_ORGANIZED,06_grill,charcoal_grilled_chicken_01.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\06_grill\charcoal_grilled_chicken_01.jpg,kitchen_action,high,Smoke and charcoal action shot.,,e368cd324e11b89de46025c6b618cddca356646943211bdadcb6be29cbd2f7b1,135107
18.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\18.jpg,ALREADY_ORGANIZED,09_cold_sides,hummus_01.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\09_cold_sides\hummus_01.jpg,cold_side,low,Hummus.,,a6f391f32accee200d022ad49c12cdb083bbb2a9b46aa873e1565883454bfd67,116181
2.jpeg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\2.jpeg,ALREADY_ORGANIZED,09_cold_sides,green_salad_original_01.jpeg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\09_cold_sides\green_salad_original_01.jpeg,cold_side,medium,Green salad.,,8de001f6245959aa0205f13acec8b444cbcb5dbefd20614c153f5b8e0c4c1187,414784
20.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\_incoming\20.jpg,ALREADY_ORGANIZED,06_grill,mixed_grill_feast_01.jpg,D:\projects\business-intelligence-platform\backend\assets\najdi_campaign\06_grill\mixed_grill_feast_01.jpg,grill_feast,high,Large grill feast reveal.,,ac87d930a6089f8f1874d72f6414cadacfbe6ff71feb274aac3a3d5a24a90e08,120881
